titleRestaurant,adress,information,kitchens,number_of_comments,phoneNumber,price,score,special_types_of_diets,average_price,price_min
KAT 3 Kuzguncuk,"Kuzguncuk Mahallesi, Paşalimanı Caddesi No: 126\3 Üsküdar, İstanbul 34674 Türkiye,İnternet sitesi",Türk,Türk,2,+90 216 343 22 52,15-40,4.0,"Öğle Yemeği, Akşam Yemeği",27.5,27.5
Galata Kulesi,"Bereketzade Mah. Büyük Hendek Sok. No:2 Beyoğlu Şişhane, İstanbul Türkiye,İnternet sitesi,Menü","Türk,Helal",Helal,338,2938183,,4.0,"Öğle Yemeği, Akşam Yemeği, Gece Eğlencesi",25.0,25.0
Nusret,"Cevdet Paşa Cad. Manolya Sok. No:1 Bebek, İstanbul Türkiye,İnternet sitesi,Menü","Biftek Restoranı,Barbekü,Avrupa",Helal,288,2654502,,4.0,"Öğle Yemeği, Akşam Yemeği, Gece Eğlencesi",25.0,25.0
Tükkan,"Kemankeş Karamustafapaşa Mahallesi, Mumhane Caddesi No: 34 Karaköy, Beyoğlu, İstanbul 34425 Türkiye,İnternet sitesi","İtalyan,Fransız,Amerikan","Avrupa, İtalyan, Fransız, Amerikan, Türk",77,+90 212 245 31 31,5-45,4.0,Vejetaryen Dostu,25.0,25.0
Kanlıca Yakamoz Restaurant,"Kanlıca İskelesi Yanı No: 1 Beykoz, Kanlıca, İstanbul Türkiye,İnternet sitesi,Menü",Deniz Mahsülleri,Deniz Mahsülleri,62,+90 216 331 00 13,20-30,4.0,"Öğle Yemeği, Brunch, Akşam Yemeği, Kahvaltı",25.0,25.0
Athyra Lounge and Sports,"Ünlüsoy Caddesi No.26 Mimaroba, Büyükçekmece, İstanbul 34535 Türkiye,İnternet sitesi,Menü","Amerikan,Akdeniz,Avrupa","Amerikan, Akdeniz, Avrupa, Türk",23,+90 212 863 17 55,10-40,4.0,"Kahvaltı, Öğle Yemeği, Akşam Yemeği, Brunch, İçecekler",25.0,25.0
Öz Çardak Cafe,"Asmalimescit Mahallesi, İstiklal Caddesi, Hangeçidi Sokak Hazzo Pulo Pasajı, No 116/C Beyoğlu, İstanbul 34080 Türkiye,İnternet sitesi,Menü",Türk,Türk,8,+90 212 292 20 10,10-40,4.0,"Kahvaltı, Öğle Yemeği, Akşam Yemeği",25.0,25.0
Fasuli Lokantaları,"Hocapaşa Mah. Muradiye Cad. No:35 Fatih Eminönü/Cağaloğlu, İstanbul Türkiye,İnternet sitesi,Menü","Türk,Helal",Helal,109,5285053,,4.0,"Öğle Yemeği, Akşam Yemeği",24.0,24.0
Çimen,"Aziz Mahmut Hüdayi Mahallesi, Hakimiyet-i Milliye Cd. No: 56 Üsküdar, İstanbul Türkiye,İnternet sitesi",Türk,"Kahvaltı, Brunch, Akşam Yemeği",87,+90 216 339 64 51,,4.0,"Masaya Servis, Tekerlekli Sandalye İle Erişim",24.0,24.0
Midyeci Koray Bakırköy,"Hallaç Hüseyin Sk. 11-7 Cevizlik, İstanbul 34142 Türkiye,İnternet sitesi,Menü","Deniz Mahsülleri,Akdeniz,Türk","Deniz Mahsülleri, Akdeniz, Türk, Sokak Yemekleri",8,+90 212 653 42 43,5-42,4.0,"Öğle Yemeği, Akşam Yemeği, İçecekler",23.5,23.5
Ravouna 1906,"Istiklal Caddesi, No: 201 Hollanda Konsolosluğu Yanı, İstanbul Türkiye,İnternet sitesi,Menü","Kafe,Türk,Şarap Barı","Kafe, Şarap Barı, Türk",115,+90 212 924 87 60,20-25,4.0,Vejetaryen Dostu,22.5,22.5
Zurich Cafe,"Şehzadebaşı Caddesi, Vidinli Tevfik Paşa Cad. No: 14 Laleli, Fatih, Zurich Hotel, İstanbul Türkiye,İnternet sitesi","Uluslararası,Vejetaryen Dostu",Vejetaryen Dostu,96,+90 212 512 23 50,,4.0,"Akşam Yemeği, Kahvaltı, Öğle Yemeği",22.5,22.5
Kitchenette,"Buyukdere Cad. Kanyon Alisveris Merkezi No:168 Levent, Besiktas Kanyon AVM, İstanbul Türkiye,İnternet sitesi,Menü",Uluslararası,"Kahvaltı, Brunch",14,3530686,,4.0,"Tekerlekli Sandalye İle Erişim, Masaya Servis",22.5,22.5
Ovalı Konya Mutfağı,"Kartaltepe Mah. E-5 Karayolu Göktepe Sok. No:2 D:1 Küçükçekmece Sefaköy, İstanbul Türkiye,İnternet sitesi","Türk,Helal",Helal,140,4246534,,4.0,"Öğle Yemeği, Akşam Yemeği, Kahvaltı",22.0,22.0
McDonald's,"Aksaray Mah. Mustafa Kemal Cad. No:31 Aksaray, Fatih, İstanbul Türkiye,İnternet sitesi",Fast Food,Öğle Yemeği,22,5876671,,4.0,Paket Yemek,21.5,21.5
Roof Bar & Restaurant,"Kucuk Ayasofya Cad. No:35 Sultanahmet, Fatih, İstanbul Türkiye,İnternet sitesi",Türk,Akşam Yemeği,19,6388525,,4.0,"Oturma, Masaya Servis",21.5,21.5
LezzetCo Döner,"Valikonagi Caddesi, No:73/A Nişantaşı, İstanbul 34363 Türkiye,İnternet sitesi","Fast Food,Türk,Helal","Türk, Fast Food",29,+90 212 230 20 60,16-25,4.0,Helal,20.5,20.5
Dürümcü Emmi,"Osmanağa Mah. Mahmut Baba Cad. No:11 Kadıköy İtfaiye Karşsı, Kadıköy, İstanbul Türkiye,İnternet sitesi,Menü","Türk,Çorbalar,Helal","Türk, Çorbalar",1196,+90 216 348 18 86,10-30,4.0,Helal,20.0,20.0
Tepeli Konya Mutfağı & Kebap,"Topselvi Mah. D-100 Güneyyanyol Cd. No: 12 Kartal, İstanbul 34873 Türkiye,İnternet sitesi,Menü","Fast Food,Türk,Lokanta","Türk, Fast Food, Lokanta, Çorbalar",10,+90 216 353 55 56,14-26,4.0,"Brunch, Kahvaltı, Öğle Yemeği, Akşam Yemeği",20.0,20.0
Beco's Restaurant & Bar,"Firüzağa Mah. Cezayir Sok. No: 16 Beyoğlu, İstanbul Türkiye,İnternet sitesi","Fransız,Uluslararası,Türk","Türk, Fransız, Uluslararası",12,+90 212 346 01 66,7-32,4.0,Akşam Yemeği,19.5,19.5
Portaxe,"Baltalimani Cad. No:80-82 Rumelihisari, Sariyer, İstanbul Türkiye,İnternet sitesi",Uluslararası,Akşam Yemeği,54,2778233,,4.0,Rezervasyonlar,18.5,18.5
Park Samdan,"Mim Kemal Oke Cad. No:18 Tesvikiye, Sisli, İstanbul Türkiye,İnternet sitesi,Menü","Uluslararası,Akdeniz,Avrupa","Öğle Yemeği, Akşam Yemeği",37,2250710,,4.0,"Rezervasyonlar, Oturma, Masaya Servis",18.5,18.5
Kebap Hocası,"Küçükyalı Mahallesi, Bağdat Caddesi No: 106/B Maltepe, İstanbul 34840 Türkiye,İnternet sitesi,Menü",Türk,Türk,34,+90 216 388 56 86,5-32,4.0,"İçecekler, Öğle Yemeği, Akşam Yemeği",18.5,18.5
Tonoz Restaurant,"sehsuvar bey mahallesi cakmak tasi sokak no:17/19 kumkapi-Istanbul, İstanbul 34122 Türkiye,İnternet sitesi","Deniz Mahsülleri,Akdeniz,Türk","Öğle Yemeği, Akşam Yemeği",32,+90 212 517 11 22,,4.0,"Rezervasyonlar, Oturma, Masaya Servis",18.0,18.0
Hori Japanese Restaurant,"TaskIsla Caddesi, No:1, 34437 Taksim Grand Hyatt İstanbul, İstanbul 34437 Türkiye,İnternet sitesi","Japon,Suşi","Akşam Yemeği, Öğle Yemeği",17,+90 212 230 90 00,,4.0,"Rezervasyonlar, Oturma, Masaya Servis",18.0,18.0
PiDEZZA.ist,"Yenişehir Mh. Bakü Cd. No:6/18, İstanbul 34912 Türkiye,İnternet sitesi,Menü","Pizza,Kafe,Türk","Pizza, Kafe, Türk",1,+90 533 406 70 55,5-30,4.0,"Öğle Yemeği, Akşam Yemeği",17.5,17.5
TUANA DURAS CAFE,"Umut Reis Caddesi No:3/B2 Fatih Mahallesi, İstanbul 34500 Türkiye,İnternet sitesi,Menü","Kafe,Fast Food,Uluslararası","Fast Food, Türk, Kafe, Uluslararası",1,+90 538 277 56 56,5-30,4.0,"Kahvaltı, Öğle Yemeği, Akşam Yemeği, Brunch, İçecekler",17.5,17.5
Taps,"Cevdet Pasa Caddesi No:119 Bebek, İstanbul 34342 Türkiye,İnternet sitesi,Menü","Bar,Bar","Bar, Bar",268,+90 212 263 87 00,4-30,4.0,"Akşam Yemeği, Öğle Yemeği, Gece Eğlencesi, İçecekler",17.0,17.0
Serez Dondurmacisi - Kartal,"Kordonboyu Mah. Akdeniz Rd. No:4/A, İstanbul 34860 Türkiye,İnternet sitesi,Menü",no input,"Gece Eğlencesi, İçecekler",71,+90 850 259 7374,4-30,4.0,"Dışarı Yemek Servisi, Paket Yemek, Açık Havada Oturma, Oturma, Cadde Üzerinde Park, Ücretsiz Yol Üstü Olmayan Park Yeri, Bebek Sandalyesi Var, Tekerlekli Sandalye İle Erişim, Kredi Kartı Geçerli",17.0,17.0
Serez Dondurmacısı - Bakırköy,"Kartaltepe Mah. Ahu Sokak No: 4 A-B, İstanbul 34145 Türkiye,İnternet sitesi,Menü",Türk,Türk,1,+90 850 259 7374,4-30,4.0,"Kahvaltı, Öğle Yemeği, Akşam Yemeği, Brunch, Gece Eğlencesi, İçecekler",17.0,17.0
İkamet Döner,"Mahmutbey Mahallesi, Taşocağı Yolu No: 19/3C Balance Güneşli, İstanbul 34212 Türkiye,İnternet sitesi,Menü",Türk,Türk,158,+90 212 462 22 22,12-21,4.0,"Oturma, Kredi Kartı Geçerli, Masaya Servis",16.5,16.5
Cemile Sultan Korusu,"Kandilli Mah. Ömürtepe Yokuşu Sok. No: 6 Üsküdar, İstanbul Türkiye,İnternet sitesi",Türk,"Öğle Yemeği, Akşam Yemeği, Brunch",158,+90 216 308 49 43,,4.0,"Rezervasyonlar, Masaya Servis",16.5,16.5
NOPA Restaurant and Grill,"6 Atiye Sokak 6 Atiye Sokak, 34360, Istanbul, İstanbul 34360 Türkiye,İnternet sitesi","İtalyan,Biftek Restoranı,Avrupa","Akşam Yemeği, Öğle Yemeği, Gece Eğlencesi",97,+90 212 327 58 68,,4.0,"Rezervasyonlar, Açık Havada Oturma, Oturma, Alkol Var, Tüm İçkiler, Masaya Servis",16.5,16.5
Kahire Restoranı,"Halaskargazi Cd. No:122 Meşrutiyet Mahallesi, İstanbul 34363 Türkiye,İnternet sitesi,Menü","Türk,Ortadoğu,Mısır","Türk, Mısır, Ortadoğu, Arap",28,+90 543 943 60 10,13-20,4.0,Helal,16.5,16.5
Erzincanli Ali Baba,"Suleymaniye Mh. Prof. Siddik Sami Onar Cad. No:11, İstanbul 34116 Türkiye,İnternet sitesi","Türk,Vejetaryen Dostu,Vegan Seçenekleri",Türk,174,+90 212 513 62 19,10-20,4.0,"Vejetaryen Dostu, Vegan Seçenekleri, Helal",15.0,15.0
Draft Gastro Pub,"Bağdat Caddesi, No:349, İstanbul 34710 Türkiye,İnternet sitesi","Bar,Uluslararası,Avrupa","Bar, Gastropub, Bar, Uluslararası, Avrupa",41,+90 216 467 29 31,10-20,4.0,"Öğle Yemeği, Akşam Yemeği",15.0,15.0
Ekim Restaurant,"Gümüşsuyu Davutapaşa Caddesi, No:82 Merkezefendi, Zeytinburnu, İstanbul 34183 Türkiye,İnternet sitesi",no input,"Brunch, Kahvaltı, Öğle Yemeği, Akşam Yemeği",4,+90 212 664 64 98,3-25,4.0,"Dışarı Yemek Servisi, Paket Yemek, Rezervasyonlar, Açık Havada Oturma, Oturma, Otopark Var, Cadde Üzerinde Park, Ücretsiz Yol Üstü Olmayan Park Yeri, Tekerlekli Sandalye İle Erişim, American Express Kabul Ediliyor, Mastercard Kabul Ediliyor, Visa Kabul Ediliyor, Dijital Ödemeler, Sadece Nakit, Ücretsiz Wifi, Kredi Kartı Geçerli",14.0,14.0
Develi,"Tepecik Yolu No:22 Etiler, İstanbul Türkiye,İnternet sitesi,Menü","Barbekü,Türk,Ortadoğu",Helal,1191,+90 212 263 25 71,,4.0,"Öğle Yemeği, Akşam Yemeği, Gece Eğlencesi",13.5,13.5
Ouzo Roof Restaurant,"Fener Kalamis Caddesi No 38 Wyndham Grand Istanbul Kalamış Marina Hotel, İstanbul 34726 Türkiye,İnternet sitesi,Menü","Deniz Mahsülleri,Akdeniz,Türk",Helal,203,+90 216 400 00 30,,4.0,"Öğle Yemeği, Akşam Yemeği, İçecekler",13.5,13.5
Gozlemio,"Abide-i Hürriyet Cad. No:181 / A Merkez Mah., İstanbul 34381 Türkiye,İnternet sitesi,Menü","Fast Food,Türk","Fast Food, Türk",4,+90 212 361 55 55,9-17,4.0,"Kahvaltı, Öğle Yemeği, Akşam Yemeği",13.0,13.0
Kem Küm Egyptian Vegan,"Caferağa Mahallesi Kılaptancı Sokak No1B, İstanbul 34710 Türkiye,İnternet sitesi,Menü",no input,"Akdeniz, Sağlıklı, Sokak Yemekleri, Ortadoğu, Mısır, Arap",2,+90 533 422 92 43,6-20,4.0,"Kahvaltı, Öğle Yemeği, Akşam Yemeği, Brunch",13.0,13.0
01 Adana Börek,"İnönü Caddesi No: 76 Kadıköy, Acıbadem Hastanesi Yakını, İstanbul Türkiye,İnternet sitesi",Türk,Türk,118,+90 216 999 12 77,9-15,4.0,"Kahvaltı, Öğle Yemeği, Akşam Yemeği, Brunch",12.0,12.0
Netto Cafe & Restaurant,"Yenidoğan Mah. Cicoz Yolu Titanik Otel Altı 32/B Titanic Otel Alti, Bayrampaşa, İstanbul 34030 Türkiye,İnternet sitesi","Fransız,Afrika,Akdeniz","Fransız, Afrika, Akdeniz, Arap, Türk",81,+90 212 222 22 22,8-15,4.0,"Öğle Yemeği, Akşam Yemeği, Brunch, Kahvaltı",11.5,11.5
Rumeli Pilavüstü,"Nispetiye Cad. No:83/A Rumelihisarustu, İstanbul 34470 Türkiye,İnternet sitesi,Menü",Türk,Türk,1,+90 212 257 37 00,2-20,4.0,"Öğle Yemeği, Akşam Yemeği, Gece Eğlencesi",11.0,11.0
The Hunger Watergarden,"Sebboy Sk No10 Barbaros Mah, İstanbul 34846 Türkiye,İnternet sitesi,Menü","Avrupa,Türk","Avrupa, Türk",136,+90 216 504 00 60,5-15,4.0,"Kahvaltı, Öğle Yemeği, Akşam Yemeği, İçecekler",10.0,10.0
Ovalı Konya Mutfağı,"E-5 Ankara Asfaltı Yan Yol Topselvi, Kartal, İstanbul Türkiye,İnternet sitesi","Türk,Çorbalar,Helal",Helal,57,+90 212 424 65 34,,4.0,"Öğle Yemeği, Akşam Yemeği, Kahvaltı",10.0,10.0
Cibalikapı Balıkçısı,"Tarihi Moda İskelesi Yolu, Moda Cad. No: 163/A Moda, Kadıköy, İstanbul 34710 Türkiye,İnternet sitesi,Menü","Deniz Mahsülleri,Türk","Akşam Yemeği, Öğle Yemeği",53,+90 216 348 93 63,,4.0,"Rezervasyonlar, Oturma, Masaya Servis",10.0,10.0
Sait İskender,"Poligon Mah. Katar Cad. No: 19 İstinye, Sarıyer, İstanbul 34000 Türkiye,İnternet sitesi,Menü","Biftek Restoranı,Uluslararası,Türk","Türk, Biftek Restoranı, Uluslararası, Mangal, Çağdaş, Lokanta",36,+90 212 229 68 68,5-15,4.0,Helal,10.0,10.0
Qarip Restoran,"Garipçe Mahallesi, Garipçe Caddesi, No:76, İstanbul 34450 Türkiye,İnternet sitesi,Menü","Deniz Mahsülleri,Türk,Yunan","Kahvaltı, Öğle Yemeği, Akşam Yemeği, Brunch, Gece Eğlencesi",14,+90 212 228 16 66,,4.0,"Dışarı Yemek Servisi, Rezervasyonlar, Açık Havada Oturma, Açık Büfe, Oturma, Otopark Var, İndirimli Park Hizmeti, Ücretsiz Yol Üstü Olmayan Park Yeri, Bebek Sandalyesi Var, Tekerlekli Sandalye İle Erişim, American Express Kabul Ediliyor, Mastercard Kabul Ediliyor, Visa Kabul Ediliyor, Sadece Nakit, Ücretsiz Wifi, Kredi Kartı Geçerli",10.0,10.0
Asmalı Konagı Cafe,"Darüşşifa Sk. No:2/1 Haseki Sultan Mh., İstanbul 34096 Türkiye,İnternet sitesi,Menü","Türk,Arap","Türk, Arap",1,+90 212 586 69 52,5-15,4.0,"Kahvaltı, Öğle Yemeği, Akşam Yemeği, Brunch, İçecekler",10.0,10.0
Coşkun Balık,"Fatih Mahallesi No: 9,10,11,12,13 Küçükçekmece, 830. Yanyol Metin Oktay Stadı, Balıkçılar Çarşısı, İstanbul 34400 Türkiye,İnternet sitesi,Menü",Deniz Mahsülleri,"İçecekler, Kahvaltı, Öğle Yemeği, Akşam Yemeği",34,+90 212 601 21 06,,4.0,"Paket Yemek, Rezervasyonlar, Açık Havada Oturma, Özel Yemek, Oturma, Otopark Var, Cadde Üzerinde Park, Vale Otopark, Ücretsiz Yol Üstü Olmayan Park Yeri, Televizyon, Bebek Sandalyesi Var, Tekerlekli Sandalye İle Erişim, Ücretsiz Wifi, Kredi Kartı Geçerli",9.5,9.5
Gürkan Şef,"No : 1 Ali Tanburi Sok. Nispetiye Cad. Etiler / Besiktaş, İstanbul 34000 Türkiye,İnternet sitesi","Biftek Restoranı,Latin,Avrupa",Akşam Yemeği,105,+90 212 265 80 00,,4.0,"Rezervasyonlar, Oturma, Masaya Servis",9.0,9.0
Eyup Sultan Konagi Restaurant,"Islambey Mah. Kalenderhane Cad. No:19 Eyup Merkez, Eyup, İstanbul Türkiye,İnternet sitesi","Türk,Helal",Helal,35,5675734,,4.0,"Kahvaltı, Öğle Yemeği, Akşam Yemeği",8.0,8.0
Dark Chocolate,"Pınartepe Mahallesi, Orhangazi Caddesi No: 27 Büyükçekmece, İstanbul 34528 Türkiye,İnternet sitesi,Menü","Bar,Kafe,Şarap Barı","Kahvaltı, Brunch",26,+90 212 872 72 17,,4.0,"Rezervasyonlar, Ücretsiz Wifi",8.0,8.0
View Point Restaurant,"Topçu Cad. Point Hotel No:4 Beyoğlu Taksim, İstanbul Türkiye,İnternet sitesi",Uluslararası,"Kahvaltı, Akşam Yemeği",18,3135000,,4.0,"Tekerlekli Sandalye İle Erişim, Rezervasyonlar",8.0,8.0
Naomi Sushi Bar,"Harbiye Mh. Mim Kemal Öke Cd. No: 1/C Şişli, Nişantaşı, Çiftçiler Apt., İstanbul Türkiye,İnternet sitesi,Menü","Japon,Deniz Mahsülleri,Suşi","Öğle Yemeği, Akşam Yemeği",103,+90 212 234 34 44,,4.0,"Dışarı Yemek Servisi, Paket Yemek, Rezervasyonlar, Masaya Servis, Oturma, Tekerlekli Sandalye İle Erişim, Alkol Var",7.0,7.0
Paşalimanı Kafe Beltur,"Paşa Limanı Cad. No:113 Kuzguncuk, Üsküdar, İstanbul Türkiye,İnternet sitesi","Kafe,Türk,Vejetaryen Dostu",Vejetaryen Dostu,56,4953216,,4.0,"Kahvaltı, Akşam Yemeği, Brunch, Öğle Yemeği",5.5,5.5
Nusr-Et Burger Kanyon,"Esentepe Mahallesi Kanyon AVM, Şişli, İstanbul 34394 Türkiye,İnternet sitesi,Menü","Biftek Restoranı,Türk,Helal","Biftek Restoranı, Türk",136,+90 212 353 55 15,50-3000,3.5,Helal,1525.0,1525.0
Köşebaşı,"Karamustafa Paşa Mah. Necatibey Cad. Gece Kuşu Sok. No: 6 Beyoğlu, Karaköy, İstanbul 34425 Türkiye,İnternet sitesi,Menü","Barbekü,Türk,Helal",Helal,32,+90 212 293 19 99,,3.5,"Öğle Yemeği, Akşam Yemeği",1377.5,1377.5
Ranchero,"Suadiye Mah. Bağdat Cad. No:468/A Kadıköy Suadiye, İstanbul 34740 Türkiye,İnternet sitesi","Meksika,Vejetaryen Dostu",Vejetaryen Dostu,61,3806500,,3.5,"Öğle Yemeği, Akşam Yemeği, Gece Eğlencesi",921.5,921.5
Bebek Balıkçı,"Bebek Mah. Cevdet Paşa Cad. No: 26/A Beşiktaş, İstanbul 34342 Türkiye,İnternet sitesi,Menü","Deniz Mahsülleri,Akdeniz,Türk","Deniz Mahsülleri, Akdeniz, Türk",250,+90 212 263 34 47,355-1064,3.5,"Öğle Yemeği, Akşam Yemeği",709.5,709.5
Kırıntı,"Abdi Ipekci Cad. No: 32, İstanbul 34360 Türkiye,İnternet sitesi",Vejetaryen Dostu,"Öğle Yemeği, Akşam Yemeği, Kahvaltı, Gece Eğlencesi",125,2912692,,3.5,"Açık Havada Oturma, Oturma, Alkol Var, Tüm İçkiler, Masaya Servis, Rezervasyonlar",638.0,638.0
Hüsrev,"Esentepe Mah. Yıldız Posta Cad. Dedeman İş Hanı No:48 D:1 Esentepe, Şişli, İstanbul Türkiye,İnternet sitesi,Menü","Türk,Helal",Helal,62,3474210,,3.5,"Öğle Yemeği, Akşam Yemeği",603.0,603.0
Gelik 1972 Levent,"Carsi Cad. No:25 Levent, Besiktas, İstanbul Türkiye,İnternet sitesi","Biftek Restoranı,Türk,Helal",Helal,56,2811592,,3.5,"Öğle Yemeği, Akşam Yemeği",585.0,585.0
Sultan Terrace Fish Kebap Steaks House,"Kucuk Ayasofya Cad No:53, İstanbul 34122 Türkiye,İnternet sitesi","Biftek Restoranı,Akdeniz,Avrupa","Biftek Restoranı, Akdeniz, Türk, Avrupa",44,+90 212 518 40 04,106-1064,3.5,Vejetaryen Dostu,585.0,585.0
Gunaydin Florya Kasap & Steak House,"Aqua Florya Avm , Zemin Kat No: 33 Florya, İstanbul Türkiye,İnternet sitesi","Biftek Restoranı,Barbekü,Türk","Öğle Yemeği, Akşam Yemeği",85,+90 212 663 01 03,,3.5,"Rezervasyonlar, Açık Havada Oturma, Oturma, Tekerlekli Sandalye İle Erişim, Alkol Var, Masaya Servis",502.0,502.0
Mon Amour 17.Kat,"Sahrayicedit Mah. Batman Sok No 4 Hilton Kozyatagı C Blok 17. Kat, İstanbul 34734 Türkiye,İnternet sitesi,Menü","Fransız,Türk","Fransız, Türk",7,+90 533 406 17 71,5-999,3.5,"Akşam Yemeği, Gece Eğlencesi, İçecekler",502.0,502.0
Ranchero,"Maçka Cd Reasürans Mall 53, İstanbul 11111 Türkiye,İnternet sitesi","Meksika,Latin,Vejetaryen Dostu","Meksika, Latin",110,+90 212 219 85 50,284-709,3.5,Vejetaryen Dostu,496.5,496.5
Yarımada Balık,"Arap Cami Mahallesi, Kürekçiler Kapısı Sk. No: 26 Beyoğlu, İstanbul 34421 Türkiye,İnternet sitesi","Deniz Mahsülleri,Türk","Deniz Mahsülleri, Türk",86,+90 532 623 24 88,142-851,3.5,"Akşam Yemeği, Gece Eğlencesi, İçecekler",496.5,496.5
Poseidon,"Cevdetpasa St. No 58 Kucuk, İstanbul Türkiye,İnternet sitesi","Deniz Mahsülleri,Akdeniz,Türk","Deniz Mahsülleri, Akdeniz, Türk",75,+90 212 263 38 23,177-709,3.5,"Öğle Yemeği, Akşam Yemeği, Gece Eğlencesi",443.0,443.0
Mints Hotel Restaurant,"Ağva Merkez Mahallesi, Yakuplu Caddesi No: 146 Ağva, Şile, Mints Motel, İstanbul 34990 Türkiye,İnternet sitesi",Türk,Türk,28,+90 532 767 21 86,177-709,3.5,"Dışarı Yemek Servisi, Rezervasyonlar, Açık Havada Oturma, Otopark Var, Bebek Sandalyesi Var, Alkol Var, Tüm İçkiler, Mastercard Kabul Ediliyor, Visa Kabul Ediliyor, Sadece Nakit, Ücretsiz Wifi",443.0,443.0
Burger King,"Mimar Sinan Cad. No:43 Gunesli, Bagcilar, İstanbul Türkiye,İnternet sitesi,Menü",Fast Food,"Öğle Yemeği, Akşam Yemeği",15,4893951,,3.5,"Oturma, Tekerlekli Sandalye İle Erişim",443.0,443.0
Misafir Suites 8,"Kuloğlu Mah. Erol Dernek Sok. No: 1 Beyoğlu, İstanbul 34440 Türkiye,İnternet sitesi,Menü",no input,Akşam Yemeği,12,+90 212 249 89 30,177-709,3.5,"Rezervasyonlar, Oturma, Masaya Servis",443.0,443.0
Baba Restaurant,"Anadolukavağı Mah. Mektep Sokak No: 15 Beykoz, İstanbul Türkiye,İnternet sitesi,Menü","Deniz Mahsülleri,Türk","Deniz Mahsülleri, Türk",9,+90 216 320 20 47,319-567,3.5,"Öğle Yemeği, Kahvaltı, Akşam Yemeği, Brunch",443.0,443.0
Ethem Efendı Kahvaltı,"Erenköy Mah. Etheme Fendi Caddesi No: 50 Kadıköy, İstanbul 34738 Türkiye,İnternet sitesi,Menü","Türk,Vejetaryen Dostu",Vejetaryen Dostu,67,+90 541 229 52 82,,3.5,Kahvaltı,425.5,425.5
Kirpi Cafe,"Akasya AVM Üsküdar, Acıbadem, İstanbul 34660 Türkiye,İnternet sitesi,Menü","Kafe,Uluslararası,Avrupa","Kafe, Uluslararası, Avrupa, Bar",16,+90 216 290 27 68,142-709,3.5,"Öğle Yemeği, Akşam Yemeği, Kahvaltı, Brunch, İçecekler",425.5,425.5
Çınaraltı Restaurant,"Ortaköy Mah. İskele Meydanı No: 28, İstanbul Türkiye,İnternet sitesi,Menü",Deniz Mahsülleri,Deniz Mahsülleri,71,+90 212 227 33 81,269-539,3.5,"Öğle Yemeği, Akşam Yemeği, Gece Eğlencesi",404.0,404.0
Wagamama,"Kanyon AVM Levent, Beşiktaş, İstanbul Türkiye,İnternet sitesi,Menü","Japon,Suşi,Asya","Japon, Suşi, Asya",103,+90 212 353 04 74,248-532,3.5,"Vejetaryen Dostu, Vegan Seçenekleri",390.0,390.0
Guzelce Hisar,"muhtesem cikmazi, İstanbul Türkiye,İnternet sitesi,Menü",Türk,Türk,19,+90 216 462 35 30,71-709,3.5,Kahvaltı,390.0,390.0
Pera Balik Gismando,"Istiklal Cad. Ipek Sok. No:11 Beyoglu Merkez, Beyoglu, İstanbul Türkiye,İnternet sitesi,Menü","Deniz Mahsülleri,Türk",Akşam Yemeği,34,2516340,,3.5,"Rezervasyonlar, Oturma, Masaya Servis",375.0,375.0
Limos Cafe,"Celebioglu Sokak 11/A Besiktas, Dikilitas Mahallesi, İstanbul Türkiye,İnternet sitesi,Menü",no input,"Kahvaltı, Öğle Yemeği, Akşam Yemeği, Brunch, İçecekler",12,+90 212 236 92 36,106-567,3.5,"Paket Yemek, Rezervasyonlar, Açık Havada Oturma, Oturma, Tekerlekli Sandalye İle Erişim, Ücretsiz Wifi, Kredi Kartı Geçerli",336.5,336.5
Türkistan Aşevi,"Tavukhane Sok. No:36 Sultanahmet, İstanbul Türkiye,İnternet sitesi","Türk,Ortadoğu,Helal",Helal,134,+90 212 638 65 25,,3.5,"Öğle Yemeği, Akşam Yemeği, Kahvaltı",312.0,312.0
9 Ece Aksoy,"Asmalımescit Oteller Sok. No: 9-B Tepebaşı, Beyoğlu, İstanbul Türkiye,İnternet sitesi","Uluslararası,Türk","Uluslararası, Türk",69,+90 212 245 76 28,248-355,3.5,"Akşam Yemeği, Öğle Yemeği, Gece Eğlencesi",301.5,301.5
Musa Ustam Ocakbasi,"Istaiklal Caddesi, Kuafor PAZARI, İstanbul Türkiye,İnternet sitesi","Türk,Ortadoğu,Helal",Helal,10,+90 212 245 29 32,,3.5,"Akşam Yemeği, Öğle Yemeği",301.5,301.5
Teras6,"Mesrutiyet cad 61 K6, İstanbul Türkiye,İnternet sitesi",Türk,Akşam Yemeği,12,2459798,,3.5,Rezervasyonlar,300.0,300.0
Chef Mezze,"Gümüşsuyu Mah. İnönü Caddesi No: 26 Beyoğlu, İstanbul Türkiye,İnternet sitesi,Menü","Lübnan,Deniz Mahsülleri,Yunan","Lübnan, Yunan, Deniz Mahsülleri",163,+90 530 067 50 40,200-350,3.5,"Vejetaryen Dostu, Vegan Seçenekleri, Helal",275.0,275.0
Lakerda,"Idealtepe Mevki Cumhuriyet Cad. Maltepe Sahil Yolu No:100 Kucukyali, Maltepe, İstanbul Türkiye,İnternet sitesi,Menü",Deniz Mahsülleri,"Öğle Yemeği, Akşam Yemeği",52,4898583,,3.5,"Rezervasyonlar, Açık Havada Oturma, Oturma, Masaya Servis",275.0,275.0
